iteration	epsilon	negativeRewardCount	zeroRewardCount	terminal_reward_count	average_rewards	averageScore	slidingWindowAverageScore	loss_on_v	loss_on_p	reward_count	time(s)
2011	0.982	245	744	None	-0.1148	-0.1233	-0.1625	11.5814	2.1678	"{""0"": 744, ""10"": 13, ""-1"": 245}"	169.4801
3006	0.9731	233	747	None	-0.0834	-0.5974	-0.6187	12.3906	2.4167	"{""0"": 747, ""10"": 15, ""-1"": 233}"	252.6208
4003	0.9641	244	743	None	-0.1444	-0.0911	-0.325	12.4012	2.049	"{""0"": 743, ""10"": 10, ""-1"": 244}"	339.0988
5000	0.9551	237	748	None	-0.1174	-0.1548	-0.3956	16.4919	2.4378	"{""0"": 748, ""10"": 12, ""-1"": 237}"	423.8794
6005	0.946	225	770	None	-0.1244	0.5573	-0.1862	22.0265	2.5252	"{""0"": 770, ""10"": 10, ""-1"": 225}"	512.4321
7007	0.9371	253	739	None	-0.1527	-0.2647	-0.4594	33.5966	3.0844	"{""0"": 739, ""10"": 10, ""-1"": 253}"	597.068
8006	0.9281	246	741	None	-0.1261	-0.3046	-0.4494	40.5032	3.5924	"{""0"": 741, ""10"": 12, ""-1"": 246}"	683.8376
9010	0.919	192	789	None	0.0378	-0.3694	-0.3375	69.7107	5.2056	"{""0"": 789, ""10"": 23, ""-1"": 192}"	774.7027
10013	0.91	218	773	None	-0.0977	-0.1625	-0.2406	25.9544	2.8981	"{""0"": 773, ""10"": 12, ""-1"": 218}"	866.7203
11011	0.901	231	751	None	-0.0711	-0.5812	-0.5631	32.0551	2.9965	"{""0"": 751, ""10"": 16, ""-1"": 231}"	954.5311
12007	0.8921	226	755	None	-0.0763	-0.2187	-0.2337	32.9933	3.1495	"{""0"": 755, ""10"": 15, ""-1"": 226}"	1040.0893
13009	0.8831	213	762	None	0.0569	-0.1645	-0.0287	34.9569	3.7901	"{""0"": 762, ""10"": 27, ""-1"": 213}"	1130.0949
14009	0.8741	204	777	None	-0.014	0.0021	0.005	16.8892	2.0905	"{""0"": 777, ""10"": 19, ""-1"": 204}"	1216.9916
