iteration	epsilon	negativeRewardCount	zeroRewardCount	terminal_reward_count	average_rewards	averageScore	slidingWindowAverageScore	loss_on_v	loss_on_p	reward_count	time(s)
2001	0.9966	540	461	None	-0.5395	-1.7144	-0.74	0.695	1.0245	{"0": 461, "-1": 540}	17.3817
3002	0.9948	392	609	None	-0.3916	-1.1495	-0.8225	0.7326	0.9437	{"0": 609, "-1": 392}	25.4385
4003	0.993	487	514	None	-0.4865	-1.5743	-1.3031	0.9799	1.1191	{"0": 514, "-1": 487}	35.1318
5004	0.9912	523	478	None	-0.5225	-1.647	-2.4169	1.4339	1.2899	{"0": 478, "-1": 523}	43.4824
1000	0.9984	506	494	None	-0.506	-1.6605	-2.23	0.5341	0.904	{"0": 494, "-1": 506}	18.0206
2005	0.9966	451	553	None	-0.4388	-1.5919	-1.6006	3.6916	1.4342	{"0": 553, "10": 1, "-1": 451}	36.4032
3006	0.9948	381	620	None	-0.3806	-1.0356	-1.6125	0.7054	0.8602	{"0": 620, "-1": 381}	54.2612
4007	0.993	421	580	None	-0.4206	-0.7669	-0.7869	1.0734	1.1304	{"0": 580, "-1": 421}	71.9964
5008	0.9912	474	527	None	-0.4735	-2.0803	-2.2031	1.4774	1.3327	{"0": 527, "-1": 474}	89.5566
6009	0.9894	385	616	None	-0.3846	-0.6687	-0.5137	1.0853	1.0673	{"0": 616, "-1": 385}	106.9797
7015	0.9876	468	537	None	-0.4553	-1.5861	-3.5675	5.0725	1.6445	{"0": 537, "10": 1, "-1": 468}	124.5923
8016	0.9858	511	490	None	-0.5105	-1.8038	-2.5681	1.6533	1.4137	{"0": 490, "-1": 511}	142.2374
9017	0.9839	415	586	None	-0.4146	-1.0326	-0.9062	2.288	1.3712	{"0": 586, "-1": 415}	159.9875
10018	0.9821	536	465	None	-0.5355	-1.7191	-3.4094	4.1635	1.8722	{"0": 465, "-1": 536}	177.2421
11019	0.9803	459	542	None	-0.4585	-1.7833	-0.8825	3.9495	1.7842	{"0": 542, "-1": 459}	195.0297
12020	0.9785	522	479	None	-0.5215	-2.0207	-2.9044	7.2765	2.0749	{"0": 479, "-1": 522}	212.5465
13021	0.9767	440	561	None	-0.4396	-1.682	-0.62	7.2502	2.0132	{"0": 561, "-1": 440}	230.2316
14022	0.9749	432	569	None	-0.4316	-1.3198	-0.3825	8.8477	2.2272	{"0": 569, "-1": 432}	247.5291
15023	0.9731	418	583	None	-0.4176	-1.1654	-1.3119	13.3434	2.4236	{"0": 583, "-1": 418}	265.0587
16024	0.9713	484	517	None	-0.4835	-1.8076	-1.9781	16.4777	2.7577	{"0": 517, "-1": 484}	282.937
17025	0.9695	432	569	None	-0.4316	-1.3277	-1.785	16.3903	2.6849	{"0": 569, "-1": 432}	300.5358
18026	0.9677	340	661	None	-0.3397	-1.2095	-2.1594	23.1964	3.066	{"0": 661, "-1": 340}	318.2679
19027	0.9659	379	622	None	-0.3786	-1.1025	-1.34	23.441	3.3107	{"0": 622, "-1": 379}	335.8208
20028	0.9641	502	499	None	-0.5015	-1.4033	-0.105	25.6585	3.6565	{"0": 499, "-1": 502}	353.1275
21029	0.9623	365	636	None	-0.3646	-0.9207	-0.225	30.3983	3.4728	{"0": 636, "-1": 365}	370.7728
22030	0.9605	537	464	None	-0.5365	-1.7858	-1.9662	29.6198	2.9967	{"0": 464, "-1": 537}	388.1738
23031	0.9587	523	478	None	-0.5225	-1.8067	-1.8987	37.1755	3.3271	{"0": 478, "-1": 523}	405.4391
24032	0.9569	467	534	None	-0.4665	-1.6175	-0.5519	43.6262	4.1842	{"0": 534, "-1": 467}	423.1561
25033	0.9551	461	540	None	-0.4605	-1.1146	-1.9194	43.096	3.3235	{"0": 540, "-1": 461}	440.8389
26034	0.9533	454	547	None	-0.4535	-0.9911	-0.88	44.2969	4.1658	{"0": 547, "-1": 454}	458.3426
27035	0.9515	469	532	None	-0.4685	-1.4277	-0.7825	55.2568	4.599	{"0": 532, "-1": 469}	475.8204
28036	0.9497	412	589	None	-0.4116	-1.4717	-1.025	52.0864	4.8826	{"0": 589, "-1": 412}	493.445
29037	0.9479	408	593	None	-0.4076	-1.0944	-0.5075	57.9154	4.8703	{"0": 593, "-1": 408}	510.6751
30038	0.9461	470	531	None	-0.4695	-1.4051	-0.4506	70.0906	5.1269	{"0": 531, "-1": 470}	527.9803
31039	0.9443	414	587	None	-0.4136	-1.3577	-0.0881	70.4918	5.6319	{"0": 587, "-1": 414}	545.2689
32040	0.9425	457	544	None	-0.4565	-1.3657	-1.5969	71.1081	6.6435	{"0": 544, "-1": 457}	562.6925
33041	0.9407	471	530	None	-0.4705	-1.1472	-2.8006	87.6306	3.9202	{"0": 530, "-1": 471}	580.0942
