iteration	epsilon	negativeRewardCount	zeroRewardCount	terminal_reward_count	average_rewards	averageScore	slidingWindowAverageScore	loss_on_v	loss_on_p	reward_count	time(s)
10007	0.9101	321	360	None	0.0986	-0.4812	-0.4	5.6457	33.961	"{""0.0"": 360, ""0.031299999999999994"": 88, ""2.9375999999999998"": 1, ""3.2187"": 2, ""3.0312"": 3, ""-0.125"": 20, ""-0.0937"": 14, ""10"": 11, ""-0.0625"": 5, ""0.0938"": 1, ""3.0937"": 27, ""0.06259999999999999"": 5, ""-0.0938"": 5, ""3.1875999999999998"": 1, ""-0.031299999999999994"": 97, ""0.0625"": 9, ""0.125"": 15, ""3.0938"": 5, ""3.125"": 48, ""3.0625"": 4, ""-0.031200000000000006"": 7, ""3.25"": 10, ""-0.1874"": 6, ""3.0624000000000002"": 3, ""0.0937"": 19, ""3.1875"": 3, ""3.1563"": 45, ""3.0313"": 1, ""-0.06259999999999999"": 6, ""0.1874"": 15, ""-3.125"": 161, ""0.031200000000000006"": 3, ""3.0"": 4}"	205.8769
11001	0.901	310	345	None	0.2068	-0.1645	-0.1494	8.705	37.749	"{""0.0"": 345, ""0.031299999999999994"": 76, ""2.9375999999999998"": 3, ""3.0625"": 7, ""3.2187"": 9, ""0.0625"": 2, ""-0.031200000000000006"": 8, ""10"": 21, ""3.0312"": 4, ""-0.0625"": 1, ""0.0938"": 3, ""3.0937"": 21, ""-0.1874"": 8, ""-0.0938"": 1, ""3.1875999999999998"": 2, ""-0.031299999999999994"": 92, ""-0.125"": 11, ""0.125"": 18, ""3.0313"": 11, ""3.0"": 7, ""3.1875"": 4, ""-0.0937"": 22, ""3.125"": 48, ""0.06259999999999999"": 5, ""3.0624000000000002"": 2, ""0.0937"": 18, ""3.0938"": 4, ""-3.125"": 163, ""3.2188"": 1, ""0.1874"": 23, ""-0.06259999999999999"": 4, ""3.1563"": 35, ""0.031200000000000006"": 12, ""3.25"": 3}"	226.7815
12009	0.8921	276	413	None	0.2143	-0.0015	-0.2769	7.8559	34.8101	"{""0.0"": 413, ""-0.031299999999999994"": 85, ""2.9375999999999998"": 7, ""3.1563"": 27, ""3.1562"": 1, ""-0.125"": 9, ""0.0938"": 3, ""10"": 22, ""3.2187"": 2, ""-0.0625"": 3, ""-0.0937"": 23, ""3.0937"": 19, ""-0.1874"": 5, ""3.1875999999999998"": 4, ""0.0937"": 31, ""0.0625"": 5, ""0.125"": 12, ""3.0"": 10, ""3.125"": 42, ""3.1875"": 4, ""0.031299999999999994"": 62, ""3.25"": 2, ""3.2188"": 2, ""3.0624000000000002"": 3, ""3.0625"": 3, ""3.0938"": 5, ""-3.125"": 143, ""-0.031200000000000006"": 3, ""0.1874"": 24, ""-0.06259999999999999"": 5, ""3.0313"": 10, ""0.031200000000000006"": 9, ""0.06259999999999999"": 10}"	249.3425
13000	0.8832	312	332	None	0.1535	-0.2461	-0.0869	8.5308	40.6862	"{""-0.0937"": 15, ""-0.031299999999999994"": 79, ""0.0625"": 8, ""3.0937"": 23, ""3.2187"": 6, ""0.125"": 15, ""0.0938"": 9, ""10"": 16, ""3.1562"": 6, ""-0.0625"": 9, ""-0.031200000000000006"": 8, ""3.125"": 37, ""-0.1874"": 17, ""3.0313"": 10, ""3.1875999999999998"": 4, ""-0.0938"": 4, ""-0.125"": 12, ""0.0"": 332, ""3.0312"": 2, ""3.0625"": 4, ""3.0"": 11, ""0.031299999999999994"": 69, ""3.25"": 6, ""0.06259999999999999"": 5, ""3.0624000000000002"": 2, ""0.0937"": 26, ""3.1563"": 32, ""3.0938"": 7, ""-0.06259999999999999"": 7, ""3.2188"": 2, ""2.9375999999999998"": 4, ""0.1874"": 24, ""-3.125"": 161, ""0.031200000000000006"": 17, ""3.1875"": 2}"	270.1903
14013	0.8741	305	372	None	0.1968	0.0896	0.1569	6.8704	37.411	"{""0.0"": 372, ""0.0937"": 33, ""2.9375999999999998"": 5, ""3.1563"": 21, ""3.2187"": 5, ""-0.0625"": 5, ""0.031299999999999994"": 90, ""10"": 20, ""3.0312"": 2, ""3.1562"": 2, ""0.0625"": 4, ""-0.0937"": 24, ""3.0937"": 18, ""-0.1874"": 15, ""3.1875999999999998"": 3, ""0.031200000000000006"": 8, ""0.125"": 11, ""-0.125"": 11, ""3.125"": 49, ""3.0"": 3, ""3.0625"": 1, ""-0.031200000000000006"": 10, ""3.1875"": 4, ""0.06259999999999999"": 6, ""3.0624000000000002"": 1, ""-0.0938"": 3, ""3.2188"": 2, ""-3.125"": 132, ""3.0938"": 3, ""0.0938"": 2, ""0.1874"": 31, ""-0.06259999999999999"": 5, ""3.0313"": 9, ""-0.031299999999999994"": 100, ""3.25"": 3}"	291.4045
15001	0.865	287	377	None	0.1947	0.7344	-0.6237	9.277	34.6162	"{""0.0"": 377, ""0.031299999999999994"": 78, ""2.9375999999999998"": 7, ""3.0312"": 5, ""3.0937"": 12, ""0.125"": 17, ""0.0938"": 2, ""10"": 20, ""3.1562"": 1, ""-0.125"": 13, ""-0.0937"": 12, ""3.2187"": 3, ""-0.1874"": 9, ""0.031200000000000006"": 14, ""3.1875999999999998"": 2, ""0.0937"": 31, ""-0.0625"": 5, ""0.0625"": 4, ""3.0624000000000002"": 2, ""3.125"": 32, ""3.0625"": 4, ""-0.031200000000000006"": 15, ""3.25"": 6, ""3.0313"": 10, ""-0.031299999999999994"": 83, ""3.1875"": 2, ""3.0938"": 6, ""-3.125"": 137, ""3.2188"": 2, ""0.06259999999999999"": 2, ""0.1874"": 22, ""-0.06259999999999999"": 5, ""3.1563"": 33, ""-0.0938"": 8, ""3.0"": 7}"	312.8236
16005	0.8561	294	386	None	0.2243	-0.2769	-0.2106	6.1009	41.2509	"{""0.0"": 386, ""0.1874"": 22, ""2.9375999999999998"": 4, ""3.0312"": 2, ""3.1562"": 3, ""0.0625"": 8, ""-0.0937"": 23, ""10"": 23, ""3.0937"": 12, ""-0.0625"": 7, ""0.031299999999999994"": 59, ""3.125"": 40, ""-0.1874"": 15, ""3.2188"": 3, ""-0.0938"": 5, ""3.1875999999999998"": 3, ""0.0937"": 30, ""-0.125"": 17, ""0.125"": 26, ""3.0938"": 5, ""3.0"": 11, ""-0.031200000000000006"": 10, ""3.0625"": 3, ""0.06259999999999999"": 3, ""3.0624000000000002"": 3, ""-0.031299999999999994"": 77, ""3.0313"": 9, ""-3.125"": 137, ""3.2187"": 6, ""0.0938"": 6, ""-0.06259999999999999"": 3, ""3.1875"": 4, ""3.1563"": 21, ""0.031200000000000006"": 12, ""3.25"": 6}"	335.4469
17008	0.8471	325	344	None	0.1245	0.1465	-0.1181	6.2726	39.2305	"{""0.031299999999999994"": 67, ""0.0"": 344, ""2.9375999999999998"": 4, ""3.125"": 42, ""3.1562"": 3, ""0.125"": 20, ""-0.031200000000000006"": 8, ""10"": 13, ""3.0937"": 24, ""3.0312"": 2, ""-0.0625"": 2, ""0.0938"": 4, ""3.2187"": 4, ""0.06259999999999999"": 9, ""-0.0938"": 6, ""3.1875999999999998"": 4, ""0.0937"": 17, ""0.0625"": 8, ""-0.125"": 18, ""3.25"": 7, ""3.0"": 9, ""-0.0937"": 16, ""3.1875"": 3, ""3.2188"": 5, ""3.0624000000000002"": 5, ""-0.031299999999999994"": 90, ""3.1563"": 35, ""-3.125"": 167, ""3.0938"": 7, ""-0.1874"": 13, ""0.1874"": 24, ""-0.06259999999999999"": 5, ""3.0313"": 8, ""0.031200000000000006"": 7, ""3.0625"": 3}"	358.1713
18012	0.8381	323	321	None	0.1185	-0.2135	-0.0956	6.8566	34.9505	"{""0.0"": 321, ""-0.031299999999999994"": 80, ""2.9375999999999998"": 3, ""3.125"": 36, ""3.0312"": 5, ""0.0625"": 12, ""0.031299999999999994"": 78, ""10"": 13, ""3.1562"": 3, ""3.2187"": 5, ""-0.0625"": 10, ""0.0938"": 2, ""3.0937"": 20, ""-0.1874"": 8, ""3.1875999999999998"": 4, ""0.0937"": 40, ""0.125"": 27, ""-0.125"": 20, ""3.0624000000000002"": 1, ""3.0625"": 4, ""3.1875"": 4, ""-0.0937"": 16, ""3.25"": 6, ""3.1563"": 24, ""-0.0938"": 9, ""3.0938"": 8, ""-3.125"": 161, ""3.0313"": 15, ""0.06259999999999999"": 6, ""0.1874"": 17, ""-0.031200000000000006"": 13, ""-0.06259999999999999"": 6, ""3.2188"": 4, ""0.031200000000000006"": 8, ""3.0"": 15}"	379.1982
19011	0.8291	294	362	None	0.2531	0.1703	-0.1787	7.8272	35.9809	"{""0.0"": 362, ""-0.031299999999999994"": 80, ""2.9375999999999998"": 6, ""3.125"": 38, ""3.0312"": 4, ""-0.125"": 11, ""0.031299999999999994"": 62, ""3.0313"": 9, ""3.2187"": 2, ""3.1562"": 1, ""0.0625"": 7, ""-0.031200000000000006"": 16, ""3.0937"": 20, ""-0.1874"": 12, ""3.2188"": 2, ""3.1875999999999998"": 3, ""0.0937"": 33, ""-0.0625"": 6, ""0.125"": 16, ""3.0"": 7, ""3.1875"": 7, ""3.25"": 2, ""-0.0937"": 15, ""3.0625"": 2, ""3.0938"": 9, ""3.0624000000000002"": 2, ""-0.0938"": 4, ""3.1563"": 24, ""10"": 26, ""0.0938"": 7, ""0.1874"": 24, ""-0.06259999999999999"": 9, ""-3.125"": 141, ""0.031200000000000006"": 19, ""0.06259999999999999"": 11}"	400.8261
