iteration	epsilon	negativeRewardCount	zeroRewardCount	terminal_reward_count	average_rewards	averageScore	slidingWindowAverageScore	loss_on_v	loss_on_p	reward_count	time(s)
2002	0.9821	993	8	None	-0.992	-5.276	-3.48	2.098	1.8882	{"0": 8, "-1": 993}	40.3596
3003	0.9731	967	34	None	-0.966	-4.8801	-1.915	3.5287	1.9337	{"0": 34, "-1": 967}	60.6151
4004	0.9641	916	85	None	-0.9151	-4.4291	-4.4138	8.4335	2.3276	{"0": 85, "-1": 916}	80.5954
5005	0.9551	931	70	None	-0.9301	-4.249	-2.2256	10.9972	2.4754	{"0": 70, "-1": 931}	100.6917
6006	0.946	940	61	None	-0.9391	-3.2669	-2.4244	16.725	2.8822	{"0": 61, "-1": 940}	120.722
7007	0.937	937	64	None	-0.9361	-3.5396	-3.2012	21.6674	3.2699	{"0": 64, "-1": 937}	140.8461
8008	0.928	951	50	None	-0.95	-4.3895	-3.7288	32.4628	3.8068	{"0": 50, "-1": 951}	160.8498
9009	0.919	981	20	None	-0.98	-5.0506	-5.4569	37.6824	3.5447	{"0": 20, "-1": 981}	180.9568
10010	0.91	980	21	None	-0.979	-4.8161	-4.2538	39.7686	4.0216	{"0": 21, "-1": 980}	200.9098
11000	0.9011	923	67	None	-0.9323	-3.9347	-3.1894	6.6083	2.8947	{"0": 67, "-1": 923}	220.7548
12001	0.8921	962	39	None	-0.961	-4.0952	-2.0206	40.6161	4.4182	{"0": 39, "-1": 962}	241.0106
13002	0.8831	969	32	None	-0.968	-4.9925	-5.9156	45.871	3.8536	{"0": 32, "-1": 969}	261.0029
14003	0.8741	967	34	None	-0.966	-4.5078	-4.7431	50.1653	3.9205	{"0": 34, "-1": 967}	281.0701
15004	0.8651	985	16	None	-0.984	-5.6196	-8.1044	54.8429	3.8786	{"0": 16, "-1": 985}	301.128
16005	0.8561	939	62	None	-0.9381	-4.5588	-5.2519	56.3623	4.0268	{"0": 62, "-1": 939}	321.0077
17006	0.8471	945	56	None	-0.9441	-4.6499	-6.7419	71.227	4.822	{"0": 56, "-1": 945}	340.8982
18007	0.8381	981	20	None	-0.98	-5.5845	-4.59	78.9018	4.828	{"0": 20, "-1": 981}	360.9002
19008	0.8291	960	41	None	-0.959	-5.5571	-6.9575	77.2141	5.1731	{"0": 41, "-1": 960}	381.0307
20009	0.8201	954	47	None	-0.953	-3.8866	-3.7194	90.7891	4.7177	{"0": 47, "-1": 954}	401.0377
21010	0.811	984	17	None	-0.983	-5.8124	-6.6719	84.6287	4.2408	{"0": 17, "-1": 984}	420.9299
22011	0.802	975	26	None	-0.974	-5.2077	-6.475	80.589	4.6434	{"0": 26, "-1": 975}	440.9154
23012	0.793	977	24	None	-0.976	-5.8834	-5.2656	73.1061	3.8318	{"0": 24, "-1": 977}	460.8712
24013	0.784	929	72	None	-0.9281	-4.5314	-4.5519	94.3664	4.4733	{"0": 72, "-1": 929}	480.8049
25014	0.775	984	17	None	-0.983	-5.3367	-8.0187	101.9981	4.1177	{"0": 17, "-1": 984}	500.7108
26000	0.7661	956	30	None	-0.9696	-5.2601	-4.8756	104.6858	4.406	{"0": 30, "-1": 956}	520.3018
27001	0.7571	960	41	None	-0.959	-5.7066	-6.6625	97.6338	4.3104	{"0": 41, "-1": 960}	540.3087
28002	0.7481	1000	1	None	-0.999	-7.5144	-5.9512	103.7228	4.2711	{"0": 1, "-1": 1000}	560.29
29003	0.7391	987	14	None	-0.986	-6.1261	-6.3713	122.7434	4.5251	{"0": 14, "-1": 987}	580.1652
30004	0.7301	974	27	None	-0.973	-6.745	-4.8388	116.1617	4.0096	{"0": 27, "-1": 974}	600.6497
31005	0.7211	988	13	None	-0.987	-6.5058	-11.3775	110.5574	4.0369	{"0": 13, "-1": 988}	621.9443
32006	0.7121	986	15	None	-0.985	-6.3597	-3.6131	147.7363	4.9667	{"0": 15, "-1": 986}	642.5707
33007	0.7031	994	7	None	-0.993	-7.6476	-8.5206	135.4791	4.2638	{"0": 7, "-1": 994}	666.0768
34008	0.6941	983	18	None	-0.982	-6.6744	-6.1362	132.9164	4.0654	{"0": 18, "-1": 983}	685.9889
35009	0.6851	985	16	None	-0.984	-7.5885	-7.4219	136.9568	4.4029	{"0": 16, "-1": 985}	705.8863
36010	0.676	992	9	None	-0.991	-6.5795	-7.3506	135.2661	3.7166	{"0": 9, "-1": 992}	725.8544
