iteration	epsilon	negativeRewardCount	zeroRewardCount	terminal_reward_count	average_rewards	averageScore	slidingWindowAverageScore	loss_on_v	loss_on_p	reward_count	time(s)
2007	0.9821	238	756	None	-0.1375	-0.2322	-0.3312	8.3435	1.6798	{"0": 756, "10": 10, "-1": 238}	290.8932
3001	0.9731	221	760	None	-0.0915	0.4584	-0.0906	11.6068	2.1842	{"0": 760, "10": 13, "-1": 221}	438.8163
4000	0.9641	222	767	None	-0.1221	-0.2777	-0.5475	9.5073	1.8607	{"0": 767, "10": 10, "-1": 222}	588.4477
5005	0.9551	254	745	None	-0.193	-0.2693	-0.3419	9.1428	1.4619	{"0": 745, "10": 6, "-1": 254}	721.6323
6014	0.946	202	796	None	-0.0912	0.0285	-0.045	20.7526	2.5059	{"0": 796, "10": 11, "-1": 202}	852.7963
7008	0.937	203	776	None	-0.0533	-0.2502	-0.445	24.3425	3.4211	{"0": 776, "10": 15, "-1": 203}	983.2623
8011	0.928	208	779	None	-0.0479	-0.1818	-0.2694	25.8476	3.3585	{"0": 779, "10": 16, "-1": 208}	1117.0704
9003	0.9191	235	740	None	-0.0655	-0.2436	-0.2862	35.2454	3.6495	{"0": 740, "10": 17, "-1": 235}	1248.8193
10000	0.9101	236	749	None	-0.1163	0.0906	0.0781	23.1196	2.8325	{"0": 749, "10": 12, "-1": 236}	1381.3507
11004	0.9011	231	756	None	-0.0608	0.1288	0.0563	29.3019	3.5445	{"0": 756, "10": 17, "-1": 231}	1513.9912
12012	0.892	229	763	None	-0.0685	-1.1604	-0.4244	28.8286	3.3714	{"0": 763, "10": 16, "-1": 229}	1648.4443
13000	0.8831	189	785	None	-0.0496	-0.2687	-0.0112	24.9432	2.5495	{"0": 785, "10": 14, "-1": 189}	1779.4168
14013	0.874	184	809	None	0.0158	-0.3074	-0.0937	28.9364	3.2609	{"0": 809, "10": 20, "-1": 184}	1914.2737
15005	0.8651	198	772	None	0.0222	0.0531	-0.1437	27.897	2.7857	{"0": 772, "10": 22, "-1": 198}	2047.9097
16004	0.856	208	756	None	0.1421	-0.1964	-0.2775	36.1017	3.4153	{"0": 756, "10": 35, "-1": 208}	2186.1622
17007	0.8471	239	740	None	0.001	-0.9792	-0.2375	27.4796	2.3589	{"0": 740, "10": 24, "-1": 239}	2324.2758
18008	0.8381	185	782	None	0.1548	0.1188	0.1063	17.667	2.3634	{"0": 782, "10": 34, "-1": 185}	2459.4235
19012	0.829	222	755	None	0.0478	-0.4927	-0.7169	13.1335	1.6743	{"0": 755, "10": 27, "-1": 222}	2594.608
20008	0.8201	179	789	None	0.1014	0.0313	0.0069	15.8295	1.5399	{"0": 789, "10": 28, "-1": 179}	2729.9182
21003	0.811	177	789	None	0.1136	0.6016	-0.0531	13.111	1.4343	{"0": 789, "10": 29, "-1": 177}	2865.5321
22010	0.802	179	801	None	0.0904	-0.2326	-0.2731	9.9517	1.4992	{"0": 801, "10": 27, "-1": 179}	3008.3192
23007	0.7931	209	763	None	0.0411	-0.3729	-0.2575	10.8162	1.8536	{"0": 763, "10": 25, "-1": 209}	3145.5561
24003	0.7841	203	773	None	-0.003	-0.6521	-0.6656	8.0207	2.794	{"0": 773, "10": 20, "-1": 203}	3284.5496
25003	0.7751	191	777	None	0.129	-0.7146	-0.2594	13.9527	2.5919	{"0": 777, "10": 32, "-1": 191}	3423.7251
26005	0.7661	193	779	None	0.1068	-0.1556	0.0256	11.5997	2.5837	{"0": 779, "10": 30, "-1": 193}	3562.6
27003	0.7571	186	778	None	0.1543	0.2558	0.2607	17.4668	3.2735	{"0": 778, "10": 34, "-1": 186}	3704.51
28001	0.7481	174	790	None	0.1663	0.2917	0.0063	13.0152	2.9209	{"0": 790, "10": 34, "-1": 174}	3843.5853
29004	0.7391	189	786	None	0.0907	-0.3812	-0.3862	8.2945	3.6308	{"0": 786, "10": 28, "-1": 189}	3982.7987
30014	0.73	187	796	None	0.0822	-0.3479	-0.2031	9.2494	4.3338	{"0": 796, "10": 27, "-1": 187}	4125.8054
31005	0.7211	172	805	None	-0.0323	-0.1666	0.1063	6.8477	5.6718	{"0": 805, "10": 14, "-1": 172}	4259.8174
32009	0.7121	193	799	None	-0.0727	0.1386	-0.0369	5.2087	8.0513	{"0": 799, "10": 12, "-1": 193}	4396.4446
33002	0.703	183	784	None	0.0775	-0.1477	0.11	12.0352	12.139	{"0": 784, "10": 26, "-1": 183}	4535.4185
34001	0.6941	188	789	None	0.032	-0.3382	-0.6419	8.8871	9.7482	{"0": 789, "10": 22, "-1": 188}	4674.7937
35003	0.685	157	815	None	0.1427	0.575	0.2319	9.1812	9.3937	{"0": 815, "10": 30, "-1": 157}	4814.7204
36013	0.676	148	834	None	0.1307	0.2	0.1494	10.9069	7.1026	{"0": 834, "10": 28, "-1": 148}	4953.6728
37011	0.667	166	818	None	-0.0261	-0.3255	-0.3537	4.0529	11.5051	{"0": 818, "10": 14, "-1": 166}	5085.8994
38003	0.6581	150	833	None	-0.0605	0.1534	0.1494	5.7211	12.1384	{"0": 833, "10": 9, "-1": 150}	5216.3062
39011	0.649	149	847	None	-0.0288	-0.1187	-0.2394	4.5687	12.9597	{"0": 847, "10": 12, "-1": 149}	5349.7383
40000	0.6401	165	796	None	0.1163	0.0266	-0.1912	12.5246	12.5699	{"0": 796, "10": 28, "-1": 165}	5483.1718
41000	0.6311	171	802	None	0.099	0.2646	-0.1162	8.2432	10.3534	{"0": 802, "10": 27, "-1": 171}	5618.5798
42002	0.622	145	829	None	0.1347	0.2007	0.2344	7.0726	10.0068	{"0": 829, "10": 28, "-1": 145}	5754.3964
43009	0.6131	147	830	None	0.1519	0.2479	-0.0181	8.0759	14.7314	{"0": 830, "10": 30, "-1": 147}	5895.4913
44002	0.604	127	829	None	0.2447	0.575	0.1619	9.384	13.7103	{"0": 829, "10": 37, "-1": 127}	6032.4375
45004	0.595	149	811	None	0.2705	-0.2106	-0.12	10.1613	22.9643	{"0": 811, "10": 42, "-1": 149}	6171.771
46003	0.586	144	810	None	0.3063	0.3886	0.3507	9.6993	23.2447	{"0": 810, "10": 45, "-1": 144}	6314.5357
47005	0.5771	161	778	None	0.4681	-1.2271	-0.2369	11.1193	29.0099	{"0": 778, "10": 63, "-1": 161}	6459.2902
48006	0.5681	170	773	None	0.4096	-0.1229	0.09	8.9565	30.5016	{"0": 773, "10": 58, "-1": 170}	6603.4561
49006	0.5591	151	795	None	0.389	0.0313	0.1981	9.6003	24.992	{"0": 795, "10": 54, "-1": 151}	6747.0746
50000	0.5501	127	796	None	0.5865	0.2227	0.3825	11.4076	35.3414	{"0": 796, "10": 71, "-1": 127}	6893.6571
51007	0.5411	151	794	None	0.4657	0.4542	0.2163	11.7415	31.5138	{"0": 794, "10": 62, "-1": 151}	7043.6921
52001	0.5321	119	804	None	0.5946	0.2713	0.3356	10.5336	33.9117	{"0": 804, "10": 71, "-1": 119}	7192.4463
53014	0.523	146	788	None	0.6357	0.0771	0.06	11.4553	30.9491	{"0": 788, "10": 79, "-1": 146}	7344.3242
54008	0.5141	133	801	None	0.4698	-0.4	-0.0756	10.062	29.4443	{"0": 801, "10": 60, "-1": 133}	7489.8436
55007	0.505	126	795	None	0.6547	0.5171	0.0425	10.3943	32.3963	{"0": 795, "10": 78, "-1": 126}	7642.1066
56003	0.4961	111	800	None	0.742	-0.1146	0.1488	11.3684	32.1171	{"0": 800, "10": 85, "-1": 111}	7792.4181
57008	0.4871	110	819	None	0.6468	0.1146	0.1731	10.9234	32.8211	{"0": 819, "10": 76, "-1": 110}	7942.2732
58002	0.4781	110	794	None	0.7948	0.5601	0.2688	11.3281	30.4772	{"0": 794, "10": 90, "-1": 110}	8092.2279
59002	0.469	124	788	None	0.756	-0.0781	-0.1044	10.328	33.8077	{"0": 788, "10": 88, "-1": 124}	8242.981
60007	0.4601	111	781	None	1.0139	0.4563	0.4907	11.3132	29.9248	{"0": 781, "10": 113, "-1": 111}	8404.6853
61003	0.451	113	798	None	0.74	0.5328	0.2356	10.1834	34.9612	{"0": 798, "10": 85, "-1": 113}	8556.8104
62011	0.442	128	804	None	0.627	-0.1479	0.2144	8.1908	28.3482	{"0": 804, "10": 76, "-1": 128}	8707.0194
63010	0.433	110	834	None	0.4404	0.025	0.1963	7.2733	27.9508	{"0": 834, "10": 55, "-1": 110}	8852.4893
64007	0.4241	101	828	None	0.5807	0.4938	0.5075	8.2014	21.5818	{"0": 828, "10": 68, "-1": 101}	9000.6303
65004	0.4151	85	868	None	0.3561	0.5188	0.4488	5.5762	17.7622	{"0": 868, "10": 44, "-1": 85}	9143.0999
66005	0.4061	100	795	None	0.959	0.25	0.2056	8.6276	27.3708	{"0": 795, "10": 106, "-1": 100}	9298.0876
67000	0.3971	75	848	None	0.6482	0.5167	0.3631	7.599	28.2318	{"0": 848, "10": 72, "-1": 75}	9445.8267
68005	0.388	99	812	None	0.8368	0.174	0.3038	8.7347	22.6352	{"0": 812, "10": 94, "-1": 99}	9598.8309
69005	0.3791	87	801	None	1.033	0.0979	0.1713	8.7123	27.6861	{"0": 801, "10": 112, "-1": 87}	9756.1267
70008	0.3701	101	846	None	0.4576	0.0021	0.1375	6.3355	19.2786	{"0": 846, "10": 56, "-1": 101}	9900.5499
71004	0.361	83	833	None	0.7199	0.017	0.2981	7.9908	27.5615	{"0": 833, "10": 80, "-1": 83}	10049.3002
72004	0.352	83	817	None	0.917	0.0365	0.2244	8.5983	24.3298	{"0": 817, "10": 100, "-1": 83}	10203.4538
73013	0.343	80	822	None	0.9812	0.4917	0.4663	7.8265	20.7193	{"0": 822, "10": 107, "-1": 80}	10359.1513
74002	0.3341	92	792	None	0.9687	0.0893	0.2375	6.7805	25.7577	{"0": 792, "10": 105, "-1": 92}	10510.6633
75008	0.3251	93	820	None	0.832	0.1317	0.2594	6.2051	23.4911	{"0": 820, "10": 93, "-1": 93}	10669.306
76011	0.316	89	871	None	0.34	0.0359	0.015	4.3891	18.1088	{"0": 871, "10": 43, "-1": 89}	10811.2459
77008	0.3071	89	837	None	0.6229	0.0854	-0.125	7.8275	27.1692	{"0": 837, "10": 71, "-1": 89}	10959.5216
78008	0.2981	98	868	None	0.242	0.2605	0.24	4.044	21.0442	{"0": 868, "10": 34, "-1": 98}	11098.118
79002	0.289	81	809	None	0.9648	0.0261	0.4169	6.9386	22.2044	{"0": 809, "10": 104, "-1": 81}	11249.9686
80005	0.28	60	811	None	1.2562	0.5573	0.3419	6.6822	28.9023	{"0": 811, "10": 132, "-1": 60}	11406.7694
