iteration	epsilon	negativeRewardCount	zeroRewardCount	terminal_reward_count	average_rewards	averageScore	slidingWindowAverageScore	loss_on_v	loss_on_p	reward_count	time(s)
2000	0.9996	404	596	None	-0.404	-1.5279	-0.9394	0.4153	0.6949	{"0": 596, "-1": 404}	38.9808
3000	0.9995	536	464	None	-0.536	-1.6084	-2.0619	0.5225	0.875	{"0": 464, "-1": 536}	58.5671
4000	0.9993	498	502	None	-0.498	-1.6093	-1.0956	0.4934	0.7999	{"0": 502, "-1": 498}	78.3358
5000	0.9991	433	567	None	-0.433	-1.5585	-1.5881	0.4501	0.6977	{"0": 567, "-1": 433}	98.5162
6000	0.9989	469	531	None	-0.469	-1.5515	-0.7894	0.4525	0.7172	{"0": 531, "-1": 469}	118.2379
7000	0.9987	479	521	None	-0.479	-1.5497	-0.9937	0.5814	0.8418	{"0": 521, "-1": 479}	137.7437
8000	0.9986	494	506	None	-0.494	-1.5541	-0.3112	0.5478	0.762	{"0": 506, "-1": 494}	157.9901
9000	0.9984	473	527	None	-0.473	-1.5495	-0.3581	0.5792	0.7719	{"0": 527, "-1": 473}	177.6314
10000	0.9982	505	495	None	-0.505	-1.5605	-0.34	0.637	0.8965	{"0": 495, "-1": 505}	196.3234
11001	0.998	455	546	None	-0.4545	-1.4755	-2.2631	5.2835	1.3501	{"0": 546, "-1": 455}	215.3383
12001	0.9978	535	465	None	-0.535	-1.609	-0.9187	0.6669	0.9443	{"0": 465, "-1": 535}	234.0112
13001	0.9977	545	455	None	-0.545	-1.6441	-1.7937	0.6072	0.8178	{"0": 455, "-1": 545}	252.7759
14001	0.9975	519	481	None	-0.519	-1.6511	-2.2275	0.6416	0.7307	{"0": 481, "-1": 519}	271.5938
15001	0.9973	459	541	None	-0.459	-1.6127	-1.0037	0.7469	0.8019	{"0": 541, "-1": 459}	290.4115
16001	0.9971	460	540	None	-0.46	-1.5876	-0.6756	0.8318	0.8801	{"0": 540, "-1": 460}	309.0454
17001	0.9969	430	570	None	-0.43	-1.5487	-1.6588	0.6839	0.7717	{"0": 570, "-1": 430}	327.6562
18001	0.9968	423	577	None	-0.423	-1.5118	-0.9325	0.7712	0.8059	{"0": 577, "-1": 423}	346.4018
19001	0.9966	416	584	None	-0.416	-1.4753	-1.0744	0.8858	0.9636	{"0": 584, "-1": 416}	365.0005
20001	0.9964	385	615	None	-0.385	-1.4436	-1.4644	0.8634	0.9954	{"0": 615, "-1": 385}	383.615
21002	0.9962	577	424	None	-0.5764	-1.9862	-1.1294	24.6641	2.3596	{"0": 424, "-1": 577}	402.7211
22002	0.996	428	572	None	-0.428	-1.638	-1.3537	1.04	1.0685	{"0": 572, "-1": 428}	421.4907
1000	1	530	470	None	-0.53	-1.7943	-0.3263	0.54	0.9427	{"0": 470, "-1": 530}	19.0088
2000	1	538	462	None	-0.538	-1.7924	-2.3581	0.5394	0.9246	{"0": 462, "-1": 538}	37.9812
3000	1	501	499	None	-0.501	-1.7291	-2.1681	0.5272	0.8803	{"0": 499, "-1": 501}	56.9056
4000	1	477	523	None	-0.477	-1.6792	-0.4869	0.4847	0.783	{"0": 523, "-1": 477}	75.8508
5000	1	547	453	None	-0.547	-1.7107	-1.7	0.5196	0.8723	{"0": 453, "-1": 547}	94.8234
6000	1	539	461	None	-0.539	-1.7114	-0.5656	0.5958	0.9951	{"0": 461, "-1": 539}	113.9487
7000	1	428	572	None	-0.428	-1.655	-2.9044	0.4579	0.695	{"0": 572, "-1": 428}	133.1523
8000	1	483	517	None	-0.483	-1.6337	-1.8437	0.5983	0.8468	{"0": 517, "-1": 483}	152.0432
9000	1	456	544	None	-0.456	-1.6087	-2.3456	0.632	0.8461	{"0": 544, "-1": 456}	171.1701
10000	1	493	507	None	-0.493	-1.6047	-1.6362	0.5789	0.8736	{"0": 507, "-1": 493}	190.1076
11000	1	515	485	None	-0.515	-1.6145	-0.845	0.5995	0.8344	{"0": 485, "-1": 515}	209.0015
1000	1	436	564	None	-0.436	-1.3399	-0.7094	0.4442	0.7681	{"0": 564, "-1": 436}	8.2723
2000	1	512	488	None	-0.512	-1.5093	-2.7706	0.514	0.886	{"0": 488, "-1": 512}	16.6546
3000	1	446	554	None	-0.446	-1.4485	-1.2306	0.444	0.7724	{"0": 554, "-1": 446}	26.0859
4000	1	421	579	None	-0.421	-1.3892	-0.4525	0.4488	0.7298	{"0": 579, "-1": 421}	36.0434
5000	1	471	529	None	-0.471	-1.4156	-2.6681	0.5411	0.8758	{"0": 529, "-1": 471}	45.7735
6000	1	496	504	None	-0.496	-1.4367	-2.6388	0.5329	0.8602	{"0": 504, "-1": 496}	55.1203
7000	1	428	572	None	-0.428	-1.4103	-3.2531	0.4887	0.7449	{"0": 572, "-1": 428}	63.6714
8000	1	549	451	None	-0.549	-1.4611	-0.8475	0.6906	1.0089	{"0": 451, "-1": 549}	72.5409
9000	1	474	526	None	-0.474	-1.4647	-1.23	0.6207	0.8674	{"0": 526, "-1": 474}	81.1556
10000	1	390	610	None	-0.39	-1.4347	-1.5419	0.5149	0.6742	{"0": 610, "-1": 390}	89.91
11000	1	448	552	None	-0.448	-1.4242	-2.3706	0.5265	0.7383	{"0": 552, "-1": 448}	98.7969
12000	1	543	457	None	-0.543	-1.4597	-3.7031	0.6943	0.9577	{"0": 457, "-1": 543}	108.3403
13000	1	505	495	None	-0.505	-1.4701	-1.705	0.6956	0.7882	{"0": 495, "-1": 505}	117.0512
14000	1	395	605	None	-0.395	-1.4486	-1.1525	0.6693	0.8362	{"0": 605, "-1": 395}	125.9273
15000	1	361	639	None	-0.361	-1.4226	-0.4569	0.6654	0.8547	{"0": 639, "-1": 361}	134.6656
16000	1	394	606	None	-0.394	-1.4058	-2.6537	0.683	0.7782	{"0": 606, "-1": 394}	143.4717
17000	1	486	514	None	-0.486	-1.4131	-0.7625	0.6553	0.8392	{"0": 514, "-1": 486}	151.98
18000	1	458	542	None	-0.458	-1.4155	-0.735	0.749	0.9421	{"0": 542, "-1": 458}	161.3521
19000	1	404	596	None	-0.404	-1.4055	-0.5994	0.7526	0.9261	{"0": 596, "-1": 404}	170.0059
1000	1	507	493	None	-0.507	-1.6836	-1.1644	0.5078	0.9039	{"0": 493, "-1": 507}	7.3519
2000	1	440	560	None	-0.44	-1.5174	-0.3094	0.46	0.7881	{"0": 560, "-1": 440}	14.6545
