iteration	epsilon	negativeRewardCount	zeroRewardCount	terminal_reward_count	average_rewards	averageScore	slidingWindowAverageScore	loss_on_v	loss_on_p	reward_count	time(s)
2016	0.9911	931	70	None	-0.9301	-4.1556	-1.2581	2.6516	1.9862	{"0": 70, "-1": 931}	380.6613
3019	0.9866	924	76	None	-0.8913	-4.3641	-3.0969	52.3567	6.4659	{"0": 76, "10": 3, "-1": 924}	434.5819
4020	0.9821	971	30	None	-0.97	-4.6716	-3.5363	33.5438	4.9072	{"0": 30, "-1": 971}	1708.6972
5013	0.9776	920	71	None	-0.9063	-4.2353	-6.6262	141.0876	9.0878	{"0": 71, "10": 2, "-1": 920}	1773.5324
6014	0.9731	952	49	None	-0.951	-3.5326	-1.765	86.1957	6.5906	{"0": 49, "-1": 952}	1816.508
7009	0.9686	905	87	None	-0.8794	-4.6174	-2.0375	215.7392	10.0414	{"0": 87, "10": 3, "-1": 905}	1870.914
8010	0.9641	932	69	None	-0.9311	-3.6918	-1.9875	105.5984	6.8196	{"0": 69, "-1": 932}	1912.5254
9004	0.9597	924	67	None	-0.8994	-4.2902	-5.9894	415.3162	13.2213	{"0": 67, "10": 3, "-1": 924}	2036.0761
10005	0.9552	956	45	None	-0.955	-4.4897	-4.9194	152.8511	6.6602	{"0": 45, "-1": 956}	2073.3681
11019	0.9506	895	117	None	-0.8629	-2.9964	-7.1462	399.588	12.0674	{"0": 117, "10": 2, "-1": 895}	2174.9684
12020	0.9461	925	76	None	-0.9241	-4.3579	-2.7613	204.6862	6.1895	{"0": 76, "-1": 925}	2220.7343
13019	0.9416	924	72	None	-0.8949	-4.3511	-3.2238	455.9303	13.4693	{"0": 72, "10": 3, "-1": 924}	2267.9694
14018	0.9371	919	79	None	-0.9099	-3.803	-0.8644	270.2645	9.4379	{"0": 79, "10": 1, "-1": 919}	2387.9673
15003	0.9327	888	95	None	-0.8812	-3.7362	-2.5344	274.3063	8.2598	{"0": 95, "10": 2, "-1": 888}	2439.1831
16004	0.9282	987	14	None	-0.986	-4.9891	-4.82	165.438	9.4115	{"0": 14, "-1": 987}	2722.7808
17009	0.9236	911	91	None	-0.8766	-3.6184	-5.5869	810.2678	17.2468	{"0": 91, "10": 3, "-1": 911}	2792.1072
18010	0.9191	947	54	None	-0.9461	-3.6673	-0.8919	322.2895	7.1076	{"0": 54, "-1": 947}	2829.372
19016	0.9146	922	81	None	-0.8867	-5.0634	-4.5963	1101.1864	21.9364	{"0": 81, "10": 3, "-1": 922}	2881.0895
20017	0.9101	968	33	None	-0.967	-4.6651	-3.7462	336.3767	6.5147	{"0": 33, "-1": 968}	2899.3898
21018	0.9056	946	55	None	-0.9451	-4.6369	-3.4656	386.83	6.5527	{"0": 55, "-1": 946}	2917.498
22019	0.9011	957	44	None	-0.956	-4.7708	-9.6775	209.279	5.9702	{"0": 44, "-1": 957}	2935.6851
23020	0.8966	949	52	None	-0.9481	-3.309	-1.6207	332.5501	11.5079	{"0": 52, "-1": 949}	2953.7277
24021	0.8921	964	37	None	-0.963	-4.2169	-3.9287	441.6175	8.79	{"0": 37, "-1": 964}	2971.4964
25022	0.8876	950	51	None	-0.9491	-4.2117	-1.9962	438.6217	6.8761	{"0": 51, "-1": 950}	2989.5761
26023	0.8831	937	64	None	-0.9361	-4.1171	-2.2469	306.8498	8.8545	{"0": 64, "-1": 937}	3007.6234
27024	0.8786	964	37	None	-0.963	-4.0711	-1.9756	315.9985	8.5603	{"0": 37, "-1": 964}	3026.0847
28025	0.8741	981	20	None	-0.98	-4.9075	-5.5606	355.9375	10.0721	{"0": 20, "-1": 981}	3046.6782
