iteration	epsilon	negativeRewardCount	zeroRewardCount	terminal_reward_count	average_rewards	averageScore	slidingWindowAverageScore	loss_on_v	loss_on_p	reward_count	time(s)
2010	0.982	246	754	None	-0.2052	-0.4143	-0.2981	2.0754	0.8256	{"0": 754, "10": 4, "-1": 246}	291.9505
3007	0.9731	247	743	None	-0.1775	-0.4278	-0.03	7.6237	1.4685	{"0": 743, "10": 7, "-1": 247}	439.5359
4000	0.9641	238	746	None	-0.149	-0.3636	-0.5275	9.0573	1.8465	{"0": 746, "10": 9, "-1": 238}	587.4656
5006	0.9551	226	769	None	-0.1153	-0.2458	-0.3625	22.3409	2.8405	{"0": 769, "10": 11, "-1": 226}	722.3349
6012	0.946	269	726	None	-0.1581	-0.3951	-0.3619	30.9285	3.3246	{"0": 726, "10": 11, "-1": 269}	852.5959
7006	0.9371	235	750	None	-0.1459	-0.1629	-0.29	22.588	2.6428	{"0": 750, "10": 9, "-1": 235}	983.0577
8005	0.9281	239	747	None	-0.1091	-0.5854	-0.2837	33.5562	3.6174	{"0": 747, "10": 13, "-1": 239}	1115.3971
9013	0.919	200	799	None	-0.1091	-0.1047	-0.3512	24.3056	2.6384	{"0": 799, "10": 9, "-1": 200}	1248.3641
10003	0.9101	200	779	None	-0.0909	-0.3854	-0.275	37.0325	3.066	{"0": 779, "10": 11, "-1": 200}	1380.0426
11000	0.9011	230	746	None	-0.0201	-0.3802	-0.08	56.7026	5.1945	{"0": 746, "10": 21, "-1": 230}	1512.6725
12011	0.892	242	745	None	-0.002	0.0552	0.1132	60.7165	4.9947	{"0": 745, "10": 24, "-1": 242}	1650.3954
13002	0.8831	221	746	None	0.0192	-0.9896	-0.19	45.0377	4.4955	{"0": 746, "10": 24, "-1": 221}	1784.1393
14012	0.874	210	771	None	0.0792	-0.1135	-0.0406	42.5585	3.6345	{"0": 771, "10": 29, "-1": 210}	1921.2046
15009	0.8651	220	751	None	0.0401	-0.7531	-0.6812	19.4362	2.7276	{"0": 751, "10": 26, "-1": 220}	2055.0709
16014	0.856	207	768	None	0.0925	-0.5021	-0.3012	21.3808	1.9204	{"0": 768, "10": 30, "-1": 207}	2193.3061
17002	0.8471	237	731	None	-0.0374	0.2938	-0.1006	10.7414	1.2351	{"0": 731, "10": 20, "-1": 237}	2327.5267
18010	0.838	214	762	None	0.1052	-0.2415	-0.5812	11.4867	1.5684	{"0": 762, "10": 32, "-1": 214}	2464.3321
19011	0.829	191	785	None	0.0589	0.0257	-0.2812	11.8163	1.1782	{"0": 785, "10": 25, "-1": 191}	2598.8171
20012	0.82	225	757	None	-0.035	-0.275	-0.0356	8.0425	1.8489	{"0": 757, "10": 19, "-1": 225}	2733.4153
21011	0.811	194	788	None	-0.024	-0.092	0.0413	11.0723	2.5581	{"0": 788, "10": 17, "-1": 194}	2868.1089
