iteration	epsilon	negativeRewardCount	zeroRewardCount	terminal_reward_count	average_rewards	averageScore	slidingWindowAverageScore	loss_on_v	loss_on_p	reward_count	time(s)
2002	0.9821	419	582	None	-0.4186	-1.2691	-1.5331	35.3044	2.1842	{"0": 582, "-1": 419}	53.8891
3009	0.9731	466	540	None	-0.4528	-1.6193	-2.0919	36.3578	2.15	{"0": 540, "10": 1, "-1": 466}	81.2004
4010	0.964	430	571	None	-0.4296	-1.1959	-0.8681	28.3429	1.7158	{"0": 571, "-1": 430}	107.8796
5011	0.955	474	527	None	-0.4735	-1.5043	-0.1725	16.6349	1.525	{"0": 527, "-1": 474}	134.452
6012	0.946	373	628	None	-0.3726	-1.0172	-1.625	22.1815	1.6377	{"0": 628, "-1": 373}	161.331
7013	0.937	333	668	None	-0.3327	-0.8943	-1.85	12.8117	1.5247	{"0": 668, "-1": 333}	188.2918
8014	0.928	445	556	None	-0.4446	-1.2783	-0.555	19.7586	1.8454	{"0": 556, "-1": 445}	214.9389
9000	0.9191	366	620	None	-0.3712	-1.1248	-0.5968	17.9131	1.5838	{"0": 620, "-1": 366}	245.8098
10010	0.91	394	615	None	-0.3802	-3.336	-0.5918	37.905	2.798	{"0": 615, "10": 1, "-1": 394}	291.2582
11011	0.901	389	612	None	-0.3886	-2.1256	-0.3344	25.3825	1.8774	{"0": 612, "-1": 389}	335.7398
12012	0.892	425	576	None	-0.4246	-0.3664	-0.2906	34.224	2.2402	{"0": 576, "-1": 425}	370.7091
13013	0.883	432	569	None	-0.4316	-0.3786	-0.4756	36.7159	1.8845	{"0": 569, "-1": 432}	414.15
14014	0.874	534	467	None	-0.5335	-1.5485	-1.8856	39.7209	2.4468	{"0": 467, "-1": 534}	485.2426
15004	0.8651	307	682	None	-0.3	-0.9146	-0.7612	26.543	1.8558	{"0": 682, "10": 1, "-1": 307}	556.129
16005	0.8561	454	547	None	-0.4535	-1.5996	-1.07	21.9402	1.8502	{"0": 547, "-1": 454}	654.4343
17006	0.8471	374	627	None	-0.3736	-1.0779	-0.3462	34.1494	2.0596	{"0": 627, "-1": 374}	706.9442
18007	0.8381	474	527	None	-0.4735	-1.5245	-1.465	12.3663	1.6819	{"0": 527, "-1": 474}	745.8832
