iteration	epsilon	negativeRewardCount	zeroRewardCount	terminal_reward_count	average_rewards	averageScore	slidingWindowAverageScore	loss_on_v	loss_on_p	reward_count	time(s)
2005	0.9821	855	111	None	-0.6535	-0.8883	-0.9606	747.063	24.2855	{"0": 111, "10": 21, "-1": 855}	30.924
3001	0.9732	870	120	None	-0.8133	-1.0047	-1.0106	191.8544	8.4717	{"0": 120, "10": 6, "-1": 870}	41.8212
4016	0.964	879	133	None	-0.8365	-1.2365	-1.1281	404.2167	9.1257	{"0": 133, "10": 3, "-1": 879}	52.512
5014	0.9551	858	127	None	-0.7295	-0.7859	-0.87	611.5366	17.3631	{"0": 127, "10": 13, "-1": 858}	62.5001
6005	0.9461	856	129	None	-0.8032	-1.1038	-0.9875	26.9698	4.6529	{"0": 129, "10": 6, "-1": 856}	71.4791
7016	0.937	850	140	None	-0.633	-0.5469	-1.2212	168.52	10.8337	{"0": 140, "10": 21, "-1": 850}	81.2615
8007	0.9281	822	160	None	-0.7386	-1.1576	-0.8881	355.9817	11.4576	{"0": 160, "10": 9, "-1": 822}	89.956
9015	0.919	839	143	None	-0.5744	-1.301	-1.3612	300.5281	11.0052	{"0": 143, "10": 26, "-1": 839}	99.8078
10004	0.9101	833	142	None	-0.7007	-1.0891	-1.0019	49.5511	5.211	{"0": 142, "10": 14, "-1": 833}	109.1921
11003	0.9012	816	167	None	-0.6567	-1.2648	-1.1662	659.0348	21.1997	{"0": 167, "10": 16, "-1": 816}	118.7543
12018	0.892	860	139	None	-0.6897	-1.6562	-1.2719	974.0078	25.4367	{"0": 139, "10": 16, "-1": 860}	128.0997
13001	0.8832	790	167	None	-0.5392	-1.1766	-1.1462	372.2653	18.4664	{"0": 167, "10": 26, "-1": 790}	138.2107
14018	0.874	811	180	None	-0.5418	-1.2133	-1.0556	45.1789	7.4828	{"0": 180, "10": 26, "-1": 811}	148.1002
15001	0.8652	770	188	None	-0.529	-1.239	-1.0406	50.8579	6.5084	{"0": 188, "10": 25, "-1": 770}	158.4099
16009	0.8561	799	185	None	-0.5546	-0.7652	-0.8325	389.8821	18.479	{"0": 185, "10": 24, "-1": 799}	168.1193
17015	0.847	852	122	None	-0.5288	-1.162	-1.2694	101.9733	11.3296	{"0": 122, "10": 32, "-1": 852}	178.3757
18009	0.8381	813	155	None	-0.5563	-0.3625	-0.6337	87.1065	7.2775	{"0": 155, "10": 26, "-1": 813}	188.6672
19003	0.829	779	184	None	-0.4718	-0.4531	-0.5631	59.9033	6.2263	{"0": 184, "10": 31, "-1": 779}	198.7061
20003	0.8202	792	179	None	-0.502	-0.901	-0.9281	34.578	4.6355	{"0": 179, "10": 29, "-1": 792}	208.5156
21001	0.8112	793	179	None	-0.5341	-0.8867	-0.8556	38.0694	4.6643	{"0": 179, "10": 26, "-1": 793}	218.3437
22004	0.802	754	221	None	-0.4726	-0.7966	-0.5062	15.1979	2.7768	{"0": 221, "10": 28, "-1": 754}	228.7835
23000	0.7931	699	267	None	-0.4006	-0.3293	-0.6881	16.8825	18.9242	{"0": 267, "10": 30, "-1": 699}	238.6653
24002	0.7842	758	210	None	-0.4172	-1.1867	-1.1062	13.4834	15.0894	{"0": 210, "10": 34, "-1": 758}	249.1029
25013	0.7751	891	111	None	-0.7923	-1.3541	-1.3281	49.3747	88.7351	{"0": 111, "10": 9, "-1": 891}	258.6543
26014	0.7661	750	226	None	-0.4995	-0.9167	-0.8544	82.8919	133.9889	{"0": 226, "10": 25, "-1": 750}	269.1811
27009	0.757	761	197	None	-0.393	-0.6094	-0.9306	21.1852	39.4431	{"0": 197, "10": 37, "-1": 761}	279.4406
28007	0.748	738	233	None	-0.4689	-0.5605	-0.6781	23.3864	39.7775	{"0": 233, "10": 27, "-1": 738}	289.3772
29012	0.7391	717	242	None	-0.2557	-0.7406	-1.0025	37.6439	38.2294	{"0": 242, "10": 46, "-1": 717}	300.8434
30011	0.7301	685	266	None	-0.2052	-1.4406	-1.4156	21.7301	50.1694	{"0": 266, "10": 48, "-1": 685}	312.0136
31019	0.721	804	173	None	-0.4901	-0.9234	-0.9744	19.6001	49.8771	{"0": 173, "10": 31, "-1": 804}	322.635
32005	0.7121	790	168	None	-0.5172	-0.6969	-0.3931	31.4508	78.8281	{"0": 168, "10": 28, "-1": 790}	332.9552
