iteration	epsilon	negativeRewardCount	zeroRewardCount	terminal_reward_count	average_rewards	averageScore	slidingWindowAverageScore	loss_on_v	loss_on_p	reward_count	time(s)
2001	0.9991	959	42	None	-0.958	-3.9001	-1.6237	23.7165	4.2873	{"0": 42, "-1": 959}	16.9914
3002	0.9987	922	79	None	-0.9211	-3.8299	-3.0262	83.0648	5.3852	{"0": 79, "-1": 922}	25.1429
4003	0.9982	958	43	None	-0.957	-4.4118	-2.9469	104.8678	5.5029	{"0": 43, "-1": 958}	33.3682
5004	0.9978	947	54	None	-0.9461	-4.0175	-5.3456	186.0215	6.5101	{"0": 54, "-1": 947}	41.5266
6005	0.9973	944	57	None	-0.9431	-3.4052	-6.5319	232.6986	5.6798	{"0": 57, "-1": 944}	49.7202
7006	0.9969	951	50	None	-0.95	-4.1748	-3.1881	167.4182	6.8744	{"0": 50, "-1": 951}	58.3529
8007	0.9964	901	100	None	-0.9001	-4.2731	-4.3925	156.3992	5.2384	{"0": 100, "-1": 901}	66.5443
9008	0.996	957	44	None	-0.956	-4.4472	-2.8775	130.721	4.7731	{"0": 44, "-1": 957}	74.989
10009	0.9955	964	37	None	-0.963	-3.8497	-2.5244	126.4479	4.236	{"0": 37, "-1": 964}	83.1411
11010	0.9951	969	32	None	-0.968	-4.2485	-4.9944	218.1269	4.8924	{"0": 32, "-1": 969}	91.3071
12011	0.9946	973	28	None	-0.972	-4.2769	-1.2813	283.3313	5.9181	{"0": 28, "-1": 973}	99.4447
13012	0.9942	955	46	None	-0.954	-3.9022	-3.7187	257.2569	4.964	{"0": 46, "-1": 955}	107.9228
14013	0.9937	960	41	None	-0.959	-4.2794	-2.7444	142.9632	5.8078	{"0": 41, "-1": 960}	116.3758
15014	0.9933	949	52	None	-0.9481	-4.0724	-8.2694	127.7511	5.2912	{"0": 52, "-1": 949}	124.5802
16015	0.9928	941	60	None	-0.9401	-4.1138	-2.5869	222.8069	5.5381	{"0": 60, "-1": 941}	132.9439
17016	0.9924	953	48	None	-0.952	-4.1118	-2.1806	211.5943	6.5474	{"0": 48, "-1": 953}	141.4112
18017	0.9919	919	82	None	-0.9181	-4.4213	-1.3731	184.1268	5.7448	{"0": 82, "-1": 919}	149.6524
19018	0.9915	930	71	None	-0.9291	-4.5807	-5.2488	192.7606	5.0804	{"0": 71, "-1": 930}	157.9966
20019	0.991	956	45	None	-0.955	-5.124	-4.0856	149.0659	5.4921	{"0": 45, "-1": 956}	166.3165
21000	0.9906	903	78	None	-0.9205	-3.7328	-2.1456	232.3885	5.6649	{"0": 78, "-1": 903}	174.4438
22001	0.9901	952	49	None	-0.951	-4.1098	-6.0425	178.8815	5.2679	{"0": 49, "-1": 952}	183.1556
23002	0.9897	958	43	None	-0.957	-4.1368	-2.1094	146.7307	4.4584	{"0": 43, "-1": 958}	191.5038
24003	0.9892	971	30	None	-0.97	-4.5871	-1.4156	192.5281	5.075	{"0": 30, "-1": 971}	200.1308
25004	0.9888	938	63	None	-0.9371	-5.0207	-1.19	217.3002	4.8032	{"0": 63, "-1": 938}	208.6176
26005	0.9883	968	33	None	-0.967	-4.4461	-2.3994	143.3544	5.1422	{"0": 33, "-1": 968}	217.0994
27006	0.9879	952	49	None	-0.951	-4.3482	-9.4712	247.4072	6.2584	{"0": 49, "-1": 952}	225.4186
28007	0.9874	955	46	None	-0.954	-4.1896	-4.4562	179.389	5.1054	{"0": 46, "-1": 955}	233.8395
29008	0.987	963	38	None	-0.962	-3.3509	-2.06	152.7269	4.4627	{"0": 38, "-1": 963}	242.8246
30009	0.9865	948	53	None	-0.9471	-3.7121	-4.85	113.3864	4.0954	{"0": 53, "-1": 948}	251.2139
31010	0.9861	960	41	None	-0.959	-4.417	-4.2937	154.2893	4.9	{"0": 41, "-1": 960}	259.6305
32011	0.9856	915	86	None	-0.9141	-3.8785	-5.2056	157.2597	4.9132	{"0": 86, "-1": 915}	268.0617
33012	0.9852	947	54	None	-0.9461	-3.7963	-4.9181	174.7145	5.3297	{"0": 54, "-1": 947}	276.6915
34013	0.9847	922	79	None	-0.9211	-4.3709	-4.7669	217.7235	6.2828	{"0": 79, "-1": 922}	285.448
35014	0.9843	899	102	None	-0.8981	-2.9523	-1.115	156.6145	5.1889	{"0": 102, "-1": 899}	293.861
