iteration	epsilon	negativeRewardCount	zeroRewardCount	terminal_reward_count	average_rewards	averageScore	slidingWindowAverageScore	loss_on_v	loss_on_p	reward_count	time(s)
2006	0.9821	239	758	None	-0.1886	-0.2677	-0.1006	2.6877	0.8694	{"0": 758, "10": 5, "-1": 239}	289.5323
3012	0.973	226	770	None	-0.1252	-0.3823	-0.4506	10.8892	1.9712	{"0": 770, "10": 10, "-1": 226}	438.9625
4006	0.9641	251	736	None	-0.1821	-0.2222	-0.2675	6.1229	1.4978	{"0": 736, "10": 7, "-1": 251}	586.0759
5014	0.955	237	756	None	-0.0863	-0.5896	-0.525	16.4961	2.8824	{"0": 756, "10": 15, "-1": 237}	721.1484
6009	0.9461	234	746	None	-0.0844	0.2855	-0.1869	35.0003	3.6251	{"0": 746, "10": 15, "-1": 234}	851.4003
7012	0.937	199	781	None	0.0309	0.1677	0.18	43.0522	4.8348	{"0": 781, "10": 23, "-1": 199}	986.245
8002	0.9281	259	716	None	-0.1101	-0.31	-0.3225	27.3113	3.5584	{"0": 716, "10": 15, "-1": 259}	1118.1248
9010	0.919	239	752	None	-0.0685	-0.5531	-0.6325	35.2786	3.6113	{"0": 752, "10": 17, "-1": 239}	1252.5343
10014	0.91	221	769	None	-0.0807	-0.3458	-0.2837	24.6801	3.0238	{"0": 769, "10": 14, "-1": 221}	1385.7127
11006	0.9011	210	777	None	-0.1613	-0.3396	-0.4037	10.7377	1.5018	{"0": 777, "10": 5, "-1": 210}	1515.0735
12009	0.8921	211	773	None	-0.0209	-0.5771	-0.1519	40.8892	4.2029	{"0": 773, "10": 19, "-1": 211}	1649.708
13009	0.8831	229	754	None	-0.059	-0.2441	-0.2844	41.3171	3.1713	{"0": 754, "10": 17, "-1": 229}	1782.3081
14001	0.8741	237	733	None	-0.0171	-0.4097	-0.3094	30.725	3.9187	{"0": 733, "10": 22, "-1": 237}	1915.7328
15009	0.8651	232	757	None	-0.0417	-0.0843	-0.0775	26.6142	2.8234	{"0": 757, "10": 19, "-1": 232}	2050.2969
16005	0.8561	209	764	None	0.0211	-0.3014	-0.2975	28.3151	3.2222	{"0": 764, "10": 23, "-1": 209}	2185.7127
17006	0.847	190	779	None	0.1299	-0.2178	-0.0056	31.9573	3.4118	{"0": 779, "10": 32, "-1": 190}	2324.1297
18013	0.838	209	768	None	0.0904	-0.1479	-0.0744	19.6174	2.2213	{"0": 768, "10": 30, "-1": 209}	2460.7829
19009	0.8291	209	761	None	0.0512	-0.1057	-0.0712	11.9891	1.5999	{"0": 761, "10": 26, "-1": 209}	2594.2282
20001	0.8201	210	765	None	-0.0403	0.2882	0.2775	11.3769	1.3538	{"0": 765, "10": 17, "-1": 210}	2726.4973
21013	0.811	219	773	None	-0.0188	-0.7791	-0.3787	9.0797	1.6688	{"0": 773, "10": 20, "-1": 219}	2862.3175
22004	0.8021	207	758	None	0.0535	-0.9406	-0.5762	10.4398	1.6793	{"0": 758, "10": 26, "-1": 207}	3004.8079
23003	0.7931	196	778	None	0.0541	0.1598	0.1388	9.828	1.8901	{"0": 778, "10": 25, "-1": 196}	3143.755
24008	0.7841	168	808	None	0.1214	-0.0387	-0.0631	11.8551	1.6818	{"0": 808, "10": 29, "-1": 168}	3288.2957
25013	0.775	220	770	None	-0.0697	-0.3847	-0.4137	5.8812	2.2726	{"0": 770, "10": 15, "-1": 220}	3425.1441
26004	0.7661	158	804	None	0.1332	0.3042	0.2525	14.8171	2.4966	{"0": 804, "10": 29, "-1": 158}	3565.4721
27004	0.7571	201	777	None	0.019	-0.2791	-0.2119	10.1562	3.4959	{"0": 777, "10": 22, "-1": 201}	3705.144
28000	0.7481	197	776	None	0.0331	0.1597	-0.1994	7.7511	4.1138	{"0": 776, "10": 23, "-1": 197}	3842.5519
29002	0.739	200	784	None	-0.02	-0.675	-0.4693	5.8249	4.5348	{"0": 784, "10": 18, "-1": 200}	3980.2331
30013	0.73	186	810	None	-0.0356	-0.1204	-0.1431	6.2012	5.3034	{"0": 810, "10": 15, "-1": 186}	4121.5445
31007	0.7211	191	780	None	0.0392	-0.2531	-0.1231	11.0552	7.0527	{"0": 780, "10": 23, "-1": 191}	4258.4439
32008	0.7121	191	788	None	0.029	-0.2954	-0.3656	10.3463	8.2202	{"0": 788, "10": 22, "-1": 191}	4396.449
33010	0.703	176	787	None	0.2136	-0.0284	-0.0244	15.8331	7.4978	{"0": 787, "10": 39, "-1": 176}	4540.0516
34011	0.694	138	827	None	0.2218	-0.175	0.2719	13.0711	4.94	{"0": 827, "10": 36, "-1": 138}	4684.3116
35008	0.685	190	777	None	0.1103	0.0469	0.0625	8.3235	5.75	{"0": 777, "10": 30, "-1": 190}	4822.7641
36010	0.676	169	812	None	0.0409	-0.0095	-0.0994	8.4494	5.9861	{"0": 812, "10": 21, "-1": 169}	4960.0519
37008	0.6671	172	819	None	-0.1022	-0.1862	-0.1094	1.4071	9.1668	{"0": 819, "10": 7, "-1": 172}	5091.285
38003	0.6581	153	828	None	-0.0131	-0.8083	-0.2469	6.1863	12.3963	{"0": 828, "10": 14, "-1": 153}	5222.7564
39005	0.6491	191	783	None	0.0888	0.0375	0.1788	12.0186	13.3692	{"0": 783, "10": 28, "-1": 191}	5357.6915
40001	0.6401	164	807	None	0.0863	0.0107	-0.0769	8.9411	12.5811	{"0": 807, "10": 25, "-1": 164}	5493.1049
41005	0.6311	141	824	None	0.248	0.1396	-0.0906	10.7678	9.2441	{"0": 824, "10": 39, "-1": 141}	5631.3957
42003	0.6221	159	821	None	0.021	-0.031	-0.2794	5.4285	11.1733	{"0": 821, "10": 18, "-1": 159}	5765.1832
43001	0.6131	158	819	None	0.0521	0.0014	0.0588	6.5943	10.9833	{"0": 819, "10": 21, "-1": 158}	5899.4154
44005	0.6041	167	807	None	0.1325	0.2709	0.1713	8.3377	10.5161	{"0": 807, "10": 30, "-1": 167}	6035.9822
45002	0.5951	176	788	None	0.1545	0.2727	0.1775	9.6867	13.4524	{"0": 788, "10": 33, "-1": 176}	6172.0019
46006	0.5861	132	804	None	0.5458	-0.2719	0.0925	11.8195	15.9165	{"0": 804, "10": 68, "-1": 132}	6316.9006
47011	0.577	155	803	None	0.3134	-0.0041	0.0588	9.5565	24.6009	{"0": 803, "10": 47, "-1": 155}	6459.1243
48004	0.5681	124	798	None	0.5901	0.1531	0.0663	12.1283	24.9911	{"0": 798, "10": 71, "-1": 124}	6605.9532
49014	0.559	141	804	None	0.504	-0.1875	0.2338	10.8486	27.6098	{"0": 804, "10": 65, "-1": 141}	6752.8981
50008	0.55	131	783	None	0.673	0.5219	0.2988	12.5519	27.7783	{"0": 783, "10": 80, "-1": 131}	6901.682
51004	0.5411	134	796	None	0.5281	-0.3631	-0.3031	10.5164	29.6984	{"0": 796, "10": 66, "-1": 134}	7050.8403
52001	0.5321	118	806	None	0.6138	-0.1354	-0.0669	10.8162	24.4288	{"0": 806, "10": 73, "-1": 118}	7198.8888
53006	0.5231	137	807	None	0.4706	-0.3557	-0.3956	9.2774	29.3927	{"0": 807, "10": 61, "-1": 137}	7345.3044
54000	0.514	130	805	None	0.4628	0.7344	0.2275	9.9564	27.3171	{"0": 805, "10": 59, "-1": 130}	7491.4974
55005	0.505	117	815	None	0.61	0.2031	0.2156	9.4036	31.7161	{"0": 815, "10": 73, "-1": 117}	7644.5195
56014	0.496	103	813	None	0.8196	0.0792	0.1169	12.2057	28.564	{"0": 813, "10": 93, "-1": 103}	7795.4856
57001	0.4871	126	779	None	0.7031	-0.0875	0.3219	10.9644	32.1464	{"0": 779, "10": 82, "-1": 126}	7941.354
58006	0.4781	133	788	None	0.7035	0.0917	-0.0031	11.0929	32.9553	{"0": 788, "10": 84, "-1": 133}	8092.2344
