iteration	epsilon	negativeRewardCount	zeroRewardCount	terminal_reward_count	average_rewards	averageScore	slidingWindowAverageScore	loss_on_v	loss_on_p	reward_count	time(s)
48001	0.5681	148	785	None	0.503	0.275	0.2831	12.7074	29.5005	{"0": 785, "10": 65, "-1": 148}	6620.8021
49010	0.559	134	817	None	0.442	-0.0625	0.0194	10.6608	26.9606	{"0": 817, "10": 58, "-1": 134}	6766.35
50000	0.5501	160	762	None	0.5253	-0.375	0.0256	11.1425	28.0417	{"0": 762, "10": 68, "-1": 160}	6913.3161
51001	0.5411	144	789	None	0.5355	-0.1708	-0.0494	10.3823	34.1284	{"0": 789, "10": 68, "-1": 144}	7062.9829
52002	0.532	135	784	None	0.6843	-0.4074	-0.4425	12.6643	33.7437	{"0": 784, "10": 82, "-1": 135}	7214.0594
53000	0.523	152	773	None	0.5792	0.575	0.2544	10.9486	35.4118	{"0": 773, "10": 73, "-1": 152}	7361.5363
54008	0.5141	106	809	None	0.8175	-0.1437	0.13	12.4864	32.5972	{"0": 809, "10": 93, "-1": 106}	7515.8072
55007	0.505	126	782	None	0.7848	0.1806	0.2569	11.5569	32.796	{"0": 782, "10": 91, "-1": 126}	7666.4701
56001	0.496	130	790	None	0.6137	0.6016	0.2481	9.8392	34.4115	{"0": 790, "10": 74, "-1": 130}	7813.1398
57000	0.4871	110	794	None	0.8408	0.2896	0.3688	10.0125	33.5786	{"0": 794, "10": 95, "-1": 110}	7965.1113
58014	0.478	131	796	None	0.7288	-0.2833	-0.0444	9.1747	28.5838	{"0": 796, "10": 87, "-1": 131}	8117.3914
59007	0.4691	106	808	None	0.6888	0.0625	0.3063	8.8999	29.2513	{"0": 808, "10": 79, "-1": 106}	8264.5524
60003	0.4601	129	790	None	0.6436	-0.4944	-0.3875	9.4653	33.2699	{"0": 790, "10": 77, "-1": 129}	8416.2829
61005	0.451	92	824	None	0.7665	0.072	0.2338	9.4695	30.033	{"0": 824, "10": 86, "-1": 92}	8568.749
62010	0.442	148	806	None	0.3602	-0.3854	-0.4337	6.618	22.9619	{"0": 806, "10": 51, "-1": 148}	8712.6312
63005	0.4331	98	781	None	1.0673	-0.1901	0.1306	9.0202	35.5909	{"0": 781, "10": 116, "-1": 98}	8869.0434
64000	0.424	76	814	None	0.9789	0.6459	0.3806	8.8475	33.7403	{"0": 814, "10": 105, "-1": 76}	9024.4115
65000	0.4151	101	802	None	0.869	0.3149	0.3188	8.302	36.6356	{"0": 802, "10": 97, "-1": 101}	9180.4683
66000	0.4061	129	785	None	0.731	0.0833	0.2019	6.9818	27.6374	{"0": 785, "10": 86, "-1": 129}	9332.8565
67014	0.397	74	820	None	1.1105	0.3396	0.4863	8.1031	33.1527	{"0": 820, "10": 120, "-1": 74}	9493.1517
68002	0.3881	107	788	None	0.833	0.3063	0.31	7.2151	34.9511	{"0": 788, "10": 93, "-1": 107}	9644.305
69001	0.379	100	808	None	0.8108	-0.05	0.22	7.7441	27.7154	{"0": 808, "10": 91, "-1": 100}	9795.3259
70002	0.37	100	790	None	1.009	0.1216	0.0925	7.4722	24.2595	{"0": 790, "10": 111, "-1": 100}	9950.2103
71007	0.3611	91	807	None	0.9741	0.2136	0.2913	6.1315	30.8142	{"0": 807, "10": 107, "-1": 91}	10108.0818
72004	0.3521	72	803	None	1.1515	0.1286	0.1288	6.1575	25.5417	{"0": 803, "10": 122, "-1": 72}	10266.1898
73012	0.343	118	867	None	0.1111	0.3542	0.3975	2.02	20.2908	{"0": 867, "10": 23, "-1": 118}	10403.6767
74002	0.334	91	812	None	0.7869	0.6016	0.5132	5.463	20.6304	{"0": 812, "10": 87, "-1": 91}	10553.1575
75008	0.325	91	819	None	0.8638	0.5241	0.3488	4.6544	23.736	{"0": 819, "10": 96, "-1": 91}	10713.4081
76010	0.316	81	803	None	1.0968	0.1299	0.1225	6.0068	23.5188	{"0": 803, "10": 118, "-1": 81}	10870.3419
77001	0.307	85	784	None	1.1453	0.6016	0.2888	5.674	26.2921	{"0": 784, "10": 122, "-1": 85}	11027.4651
78000	0.298	86	850	None	0.5445	0.6016	0.2288	4.9533	25.8737	{"0": 850, "10": 63, "-1": 86}	11172.3656
