iteration	epsilon	negativeRewardCount	zeroRewardCount	terminal_reward_count	average_rewards	averageScore	slidingWindowAverageScore	loss_on_v	loss_on_p	reward_count	time(s)
43014	0.9613	860	136	None	-0.7662	-0.9951	-1.055	817.352	15.8172	"{""0"": 136, ""10"": 9, ""-1"": 860}"	369.7676
44005	0.9604	832	143	None	-0.6781	-1.0023	-0.715	1466.3335	30.1463	"{""0"": 143, ""10"": 16, ""-1"": 832}"	378.3885
45016	0.9595	854	140	None	-0.6766	-0.9031	-1.0838	1580.3989	28.7485	"{""0"": 140, ""10"": 17, ""-1"": 854}"	387.2832
46004	0.9586	810	159	None	-0.6275	-1.1453	-0.9156	1820.7849	34.696	"{""0"": 159, ""10"": 19, ""-1"": 810}"	396.0474
47007	0.9577	818	170	None	-0.666	-0.8867	-0.9662	1451.7462	29.0786	"{""0"": 170, ""10"": 15, ""-1"": 818}"	405.0801
48016	0.9568	854	141	None	-0.7076	-1.014	-0.8381	1166.0413	22.243	"{""0"": 141, ""10"": 14, ""-1"": 854}"	414.1495
49011	0.9559	852	127	None	-0.6955	-1.282	-1.105	1125.1118	23.043	"{""0"": 127, ""10"": 16, ""-1"": 852}"	423.0772
50009	0.955	864	125	None	-0.7756	-1.0596	-1.2744	542.0923	13.6938	"{""0"": 125, ""10"": 9, ""-1"": 864}"	431.7245
51001	0.9541	849	130	None	-0.7248	-0.8488	-0.9237	819.5204	19.8192	"{""0"": 130, ""10"": 13, ""-1"": 849}"	440.4783
52018	0.9532	856	139	None	-0.6254	-1.0096	-0.98	979.0339	27.6035	"{""0"": 139, ""10"": 22, ""-1"": 856}"	450.0161
53002	0.9523	811	159	None	-0.6819	-1.2969	-1.195	544.3865	15.5139	"{""0"": 159, ""10"": 14, ""-1"": 811}"	459.0408
54016	0.9514	807	186	None	-0.5888	-1.3406	-1.3531	664.7827	19.8268	"{""0"": 186, ""10"": 21, ""-1"": 807}"	468.2611
55000	0.9505	839	124	None	-0.6392	-1.044	-1.065	521.0325	19.908	"{""0"": 124, ""10"": 21, ""-1"": 839}"	477.1876
56014	0.9496	849	147	None	-0.6598	-0.9525	-0.9325	351.738	15.222	"{""0"": 147, ""10"": 18, ""-1"": 849}"	486.371
57019	0.9487	871	122	None	-0.7473	-1.9242	-1.5625	261.8976	10.9258	"{""0"": 122, ""10"": 12, ""-1"": 871}"	495.3956
58018	0.9478	828	160	None	-0.7187	-1.0291	-0.8487	224.3324	10.6785	"{""0"": 160, ""10"": 11, ""-1"": 828}"	504.0743
59004	0.9469	839	130	None	-0.6785	-0.5469	-0.8512	372.8722	16.8058	"{""0"": 130, ""10"": 17, ""-1"": 839}"	512.9953
60018	0.946	857	134	None	-0.6183	-0.5453	-0.6381	385.7211	16.8064	"{""0"": 134, ""10"": 23, ""-1"": 857}"	522.5495
61000	0.9451	837	134	None	-0.7403	-1.2319	-1.4306	130.9486	9.4963	"{""0"": 134, ""10"": 11, ""-1"": 837}"	531.1916
62000	0.9442	834	155	None	-0.724	-1.0238	-0.9931	126.6881	7.3081	"{""0"": 155, ""10"": 11, ""-1"": 834}"	540.5415
63014	0.9433	830	167	None	-0.6509	-0.9297	-0.8269	167.9249	10.6514	"{""0"": 167, ""10"": 17, ""-1"": 830}"	549.6477
64014	0.9424	842	134	None	-0.602	-1.3125	-0.9956	173.6552	10.6586	"{""0"": 134, ""10"": 24, ""-1"": 842}"	559.3334
65012	0.9415	866	116	None	-0.7074	-0.5531	-0.7806	60.7266	7.6901	"{""0"": 116, ""10"": 16, ""-1"": 866}"	568.9398
66009	0.9406	840	134	None	-0.6118	-1.0155	-1.0062	31.3729	4.5016	"{""0"": 134, ""10"": 23, ""-1"": 840}"	578.0645
67005	0.9397	846	139	None	-0.739	-0.7305	-0.7544	11.1566	3.8649	"{""0"": 139, ""10"": 11, ""-1"": 846}"	586.7241
68002	0.9388	828	150	None	-0.6399	-0.9797	-0.6506	25.8659	6.6105	"{""0"": 150, ""10"": 19, ""-1"": 828}"	596.8451
69003	0.9379	821	165	None	-0.6703	-1.1438	-1.0337	34.3696	6.2969	"{""0"": 165, ""10"": 15, ""-1"": 821}"	605.6296
70001	0.937	804	179	None	-0.6553	-1.056	-1.1119	32.2577	6.5139	"{""0"": 179, ""10"": 15, ""-1"": 804}"	614.3952
71009	0.9361	841	150	None	-0.6657	-1.4516	-1.1762	16.0418	3.9871	"{""0"": 150, ""10"": 17, ""-1"": 841}"	623.2604
72001	0.9352	835	136	None	-0.63	-1.0167	-0.9425	13.3103	4.4012	"{""0"": 136, ""10"": 21, ""-1"": 835}"	632.5703
73010	0.9343	842	151	None	-0.6759	-1.3141	-1.215	20.4763	6.8943	"{""0"": 151, ""10"": 16, ""-1"": 842}"	641.5235
74011	0.9334	855	132	None	-0.7143	-1.268	-1.2581	31.419	8.7193	"{""0"": 132, ""10"": 14, ""-1"": 855}"	650.5077
75007	0.9325	817	156	None	-0.5894	-0.775	-0.6769	44.2476	9.67	"{""0"": 156, ""10"": 23, ""-1"": 817}"	659.3409
76015	0.9316	830	160	None	-0.6448	-1.1297	-0.9837	30.862	7.006	"{""0"": 160, ""10"": 18, ""-1"": 830}"	668.716
77018	0.9307	817	171	None	-0.665	-1.0133	-0.9144	20.427	6.5477	"{""0"": 171, ""10"": 15, ""-1"": 817}"	677.7085
78011	0.9298	781	186	None	-0.5247	-1.1255	-0.9881	15.7425	4.2357	"{""0"": 186, ""10"": 26, ""-1"": 781}"	687.8711
79001	0.9289	790	169	None	-0.4848	-0.4437	-0.6831	11.3907	3.8524	"{""0"": 169, ""10"": 31, ""-1"": 790}"	697.6119
80012	0.928	820	170	None	-0.6034	-0.8297	-0.8825	14.9041	7.0096	"{""0"": 170, ""10"": 21, ""-1"": 820}"	706.9399
81009	0.9271	785	197	None	-0.6369	-1.1398	-0.9337	19.6938	7.7261	"{""0"": 197, ""10"": 15, ""-1"": 785}"	715.6421
